,country,year,gov_exp,date,trade,growth,inf,inv_share,_merge,code,income_cat,balanced
1565,Croatia,2000,54.57011686,2000-01-01,74.6016854703406,2.94525299539681,4.61131554737801,14.5222357470153,both,HRV,UM,False
1573,Ecuador,2000,23.21602027,2000-01-01,65.4042953826391,1.09180164720277,96.0963756926096,11.0274396009055,both,ECU,LM,False
1574,El Salvador,2000,20.96278892,2000-01-01,68.7100889044911,1.12790697674419,2.27128756828723,14.844511943845,both,SLV,LM,True
1579,Fiji,2000,24.17333985,2000-01-01,135.895641463483,-1.69999841605511,1.09216459977388,12.5073482070375,both,FJI,LM,False
1582,Gabon,2000,20.29727153,2000-01-01,101.701928939637,-1.88296639760897,0.504920025834859,18.9900781553129,both,GAB,UM,False
1583,Georgia,2000,16.91722516,2000-01-01,62.6613956413099,1.84038117927339,4.06396201382596,24.5473895848157,both,GEO,L,False
1585,Ghana,2000,12.90100451,2000-01-01,116.048430162968,3.70000008164408,40.240933123914,12.7012982229997,both,GHA,L,False
1588,Guatemala,2000,13.5817128,2000-01-01,49.1455879049537,3.6088687174876,5.9775773473714,12.5374654016435,both,GTM,LM,False
1589,Guinea,2000,12.65714428,2000-01-01,36.6796954912881,2.50306056299607,,9.97675746761759,both,GIN,L,False
1591,Guyana,2000,22.87856664,2000-01-01,206.767370475214,-1.36380390261873,6.14854333024871,9.96956493349779,both,GUY,LM,False
1592,Haiti,2000,6.246705655,2000-01-01,27.1535220636918,0.870059259424892,9.33322197565603,6.94372199682804,both,HTI,L,False
1593,Honduras,2000,22.09884442,2000-01-01,120.392164584236,7.29128815869618,11.0480349344976,20.2808703267194,both,HND,LM,False
1594,"Hong Kong SAR, China",2000,17.45661701,2000-01-01,247.654020445592,7.66338225330581,-3.68550368550369,21.6223389739522,both,HKG,H,True
1608,"Korea, Rep.",2000,16.61340617,2000-01-01,66.0951601081834,9.06083332508534,2.25916580080157,26.4362501427181,both,KOR,UM,True
1612,Lebanon,2000,42.84472707,2000-01-01,50.1152959262106,1.34187161970405,,16.5949269792467,both,LBN,UM,True
1615,Madagascar,2000,15.34681293,2000-01-01,42.7771226639725,4.45685893956946,11.859684500028,6.29312066956527,both,MDG,L,True
1616,Malaysia,2000,25.6321232,2000-01-01,220.406788982074,8.85886816969386,1.53474023697699,13.4096144511379,both,MYS,UM,True
1619,Mexico,2000,19.38651575,2000-01-01,49.9104091943629,5.02928399378261,9.49156149435403,18.4266402762284,both,MEX,UM,True
1621,Moldova,2000,34.02518425,2000-01-01,126.163100130478,2.10771608200733,31.2993015817781,13.7550611571181,both,MDA,L,False
1622,Mongolia,2000,34.52846055,2000-01-01,121.886609754208,1.14606213709108,11.5955387593327,22.2418026591319,both,MNG,L,False
1630,Niger,2000,13.50338737,2000-01-01,34.7127807043604,-1.20847774100575,2.90014973599108,9.7702649878055,both,NER,L,False
1632,North Macedonia,2000,32.02447197,2000-01-01,80.1601473580914,4.54913578288874,6.60742291038536,15.2362832701914,both,MKD,LM,False
1635,Pakistan,2000,13.82000915,2000-01-01,21.4599693284272,4.2600880111325,4.36666451291681,13.4001607739096,both,PAK,L,True
1641,Poland,2000,43.03395776,2000-01-01,60.6107209423297,4.65633252988236,9.90017538843064,20.9039936762071,both,POL,UM,False
1644,Romania,2000,35.03654491,2000-01-01,48.5213253850786,2.46121646882141,45.6665940440238,15.6698614248743,both,ROU,LM,False
1645,Russian Federation,2000,30.65071508,2000-01-01,68.0939070373555,10.0000668136515,20.7987606558704,15.1197793410831,both,RUS,LM,False
1650,Saudi Arabia,2000,33.13314975,2000-01-01,68.1664488005167,4.71817952910665,-1.12499477854774,15.051900923199,both,SAU,UM,False
1651,Senegal,2000,13.98160278,2000-01-01,48.680089723263,3.88721095816793,0.731981981981609,15.36173057645,both,SEN,L,False
1652,Seychelles,2000,55.40907603,2000-01-01,151.302447835167,4.25319834931828,6.26876876876878,11.9455922725911,both,SYC,UM,True
1656,South Africa,2000,22.64644389,2000-01-01,46.2207217354077,4.20000000067826,5.33895102929212,11.7430336531718,both,ZAF,UM,True
1658,Sri Lanka,2000,21.73224655,2000-01-01,88.636441704913,6.00003315828934,6.17627591012045,24.7655124376211,both,LKA,LM,False
1659,Sudan,2000,10.36163795,2000-01-01,29.4042344599492,6.34586743997545,7.12125897172291,15.9999998730814,both,SDN,L,False
1664,Tanzania,2000,12.3242605,2000-01-01,23.9891151549808,4.52078463603256,5.92396109637479,14.2063747426939,both,TZA,L,False
1665,Thailand,2000,19.34607253,2000-01-01,121.297955351472,4.45524704335014,1.59196917460972,13.497658693997,both,THA,LM,True
1668,Tunisia,2000,24.0438669,2000-01-01,82.639110670191,4.7099729138049,2.96230794738605,21.1484232198795,both,TUN,LM,False
1670,Uganda,2000,15.22900174,2000-01-01,32.7490333383822,3.141907338187,3.39202158512998,13.1754519452918,both,UGA,L,False
1675,Uruguay,2000,26.56427503,2000-01-01,36.7137381507902,-1.92993063549235,4.76382472733251,10.6604824349551,both,URY,UM,False
1676,Uzbekistan,2000,32.85209408,2000-01-01,44.0540299791129,3.83500000014033,,16.9472293893599,both,UZB,L,False
1678,"Venezuela, RB",2000,28.29303121,2000-01-01,47.8572215529808,3.68694416687683,,14.2299410317093,both,VEN,UM,False
1680,"Yemen, Rep.",2000,31.68862337,2000-01-01,75.4388386390908,6.1819155928913,4.58999999999981,13.0997131618293,both,YEM,L,False
1689,Australia,2001,35.12228775,2001-01-01,44.2187044989977,2.02510553454593,4.40713536201469,20.1929030452275,both,AUS,H,True
1691,Azerbaijan,2001,16.78481176,2001-01-01,78.8151854917601,9.89999986533643,1.5471959015228,20.7882120550832,both,AZE,L,False
1693,Bahrain,2001,27.66794595,2001-01-01,127.026266277537,2.4909481082986,-1.20757180156659,11.8549354824373,both,BHR,H,False
1694,Bangladesh,2001,10.72961742,2001-01-01,32.0980170730117,5.07728777526728,2.0071737421384,17.8648781308244,both,BGD,L,True
1698,Benin,2001,15.4474579,2001-01-01,48.2571706392197,5.33313570603937,3.98429547767891,14.3094614419472,both,BEN,L,True
1699,Bhutan,2001,54.04430685,2001-01-01,71.0945747295588,7.32837445197929,3.41478946111596,45.5750342406688,both,BTN,L,False
1710,Chad,2001,15.55008942,2001-01-01,64.3219080406854,11.658134654294,12.4312865279941,27.7597253677962,both,TCD,L,False
1712,China,2001,17.43986498,2001-01-01,38.5272103260861,8.33573347817196,0.719125609120114,30.3891252296952,both,CHN,LM,False
1715,"Congo, Dem. Rep.",2001,4.258294018,2001-01-01,25.0419375138391,-2.10017302488846,359.936614264586,5.11041420887823,both,COD,L,False
